epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,499.553,1.71208,0.59914,0.47634,0.76613,0.08556,0.08621,0.04941,1.2066,0.50951,0.19229,0.00333127,0.00333127,0.00333127
2,981.378,1.58147,0.3688,0.29388,0.60081,0.05865,0.05197,0.01913,1.52354,0.33316,0.17745,0.00665801,0.00665801,0.00665801
3,1461.55,1.69976,0.29333,0.32614,0.62758,0.0977,0.085,0.03924,1.30517,0.39996,0.18759,0.00997814,0.00997814,0.00997814
4,1940.23,1.75322,0.26608,0.34491,0.58416,0.13066,0.12489,0.05174,1.1935,0.41081,0.18284,0.0099703,0.0099703,0.0099703
5,2418.45,1.70098,0.27808,0.31471,0.62966,0.09556,0.08979,0.02952,1.43987,0.31211,0.20619,0.0099604,0.0099604,0.0099604
6,2896.79,1.68503,0.276,0.30895,0.56091,0.12895,0.12707,0.04912,1.30266,0.38325,0.15314,0.0099505,0.0099505,0.0099505
7,3375.14,1.69253,0.26651,0.29163,0.64113,0.18887,0.19761,0.08764,1.1765,0.41471,0.16837,0.0099406,0.0099406,0.0099406
8,3851.83,1.6457,0.27247,0.27214,0.50755,0.17702,0.17685,0.07475,1.20974,0.39896,0.13908,0.0099307,0.0099307,0.0099307
9,4329.29,1.60918,0.28269,0.26622,0.60437,0.17924,0.18138,0.0779,1.1875,0.39338,0.13765,0.0099208,0.0099208,0.0099208
10,4849.53,1.56994,0.29089,0.25,0.32148,0.14717,0.13844,0.04647,1.37661,0.3266,0.18729,0.0099109,0.0099109,0.0099109
11,5355.89,1.6331,0.26891,0.26365,0.42653,0.24364,0.22714,0.10281,1.12335,0.40936,0.14673,0.009901,0.009901,0.009901
12,5832.83,1.57536,0.28192,0.24739,0.36606,0.24037,0.21989,0.09294,1.12303,0.41981,0.13451,0.0098911,0.0098911,0.0098911
13,7257.2,1.57754,0.27745,0.24267,0.35831,0.18215,0.17311,0.06035,1.31187,0.33793,0.15416,0.0098812,0.0098812,0.0098812
14,7733.61,1.57707,0.27934,0.24352,0.3631,0.25293,0.23404,0.09468,1.1312,0.40905,0.1255,0.0098713,0.0098713,0.0098713
15,8209.95,1.56365,0.28339,0.23794,0.38941,0.29297,0.27103,0.12837,1.02985,0.44832,0.12273,0.0098614,0.0098614,0.0098614
16,8686.15,1.53406,0.29147,0.22963,0.37506,0.24745,0.23279,0.10356,1.16133,0.37802,0.13653,0.0098515,0.0098515,0.0098515
17,9163.37,1.53878,0.28963,0.23672,0.36289,0.27279,0.25033,0.11138,1.10151,0.41589,0.12397,0.0098416,0.0098416,0.0098416
18,9638.59,1.54708,0.28392,0.22967,0.38493,0.26752,0.24403,0.10894,1.11258,0.40384,0.12432,0.0098317,0.0098317,0.0098317
19,10115.1,1.52376,0.29225,0.23045,0.38584,0.23916,0.21717,0.09567,1.18405,0.37673,0.14125,0.0098218,0.0098218,0.0098218
20,10591.1,1.54189,0.28542,0.22515,0.40725,0.26445,0.2454,0.11235,1.15466,0.39004,0.12126,0.0098119,0.0098119,0.0098119
21,11141.6,1.54706,0.28278,0.22513,0.43232,0.2848,0.27411,0.1197,1.06578,0.41848,0.12045,0.009802,0.009802,0.009802
