epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1375,1.82536,2.45172,1.08478,0.1565,0.16587,0.11927,0.06252,1.71066,1.57541,1.03318,0.0033251,0.0033251,0.0033251
2,62.2729,1.74259,1.6172,1.0318,0.23288,0.20021,0.1599,0.08676,1.66101,1.4371,0.99661,0.00659252,0.00659252,0.00659252
3,90.505,1.75434,1.54461,1.02362,0.25776,0.22091,0.17789,0.09539,1.65839,1.43306,0.99856,0.00979393,0.00979393,0.00979393
4,118.145,1.72804,1.50005,1.01336,0.25381,0.22271,0.18042,0.09939,1.65112,1.38276,0.99618,0.009703,0.009703,0.009703
5,145.794,1.68328,1.43456,1.00182,0.2715,0.22445,0.18801,0.10419,1.65589,1.31522,0.98435,0.009604,0.009604,0.009604
6,173.438,1.65885,1.38557,0.99052,0.30798,0.24679,0.2154,0.11886,1.58884,1.2987,0.97167,0.009505,0.009505,0.009505
7,201.546,1.63228,1.34582,0.98514,0.30714,0.24883,0.21825,0.1218,1.56852,1.26744,0.96374,0.009406,0.009406,0.009406
8,229.398,1.60845,1.31532,0.97712,0.30659,0.24692,0.21694,0.12183,1.58764,1.27854,0.9633,0.009307,0.009307,0.009307
9,256.172,1.59155,1.28872,0.97258,0.32779,0.25809,0.23415,0.13228,1.53123,1.22483,0.95885,0.009208,0.009208,0.009208
10,284.151,1.57973,1.26592,0.96578,0.3353,0.27195,0.24587,0.13655,1.50862,1.19773,0.9512,0.009109,0.009109,0.009109
11,311.974,1.55976,1.2381,0.96535,0.34021,0.27295,0.24788,0.13677,1.50726,1.19212,0.95175,0.00901,0.00901,0.00901
12,340.376,1.55373,1.23289,0.96201,0.34626,0.26318,0.24242,0.13477,1.53686,1.20171,0.95084,0.008911,0.008911,0.008911
